№,Символ,,,,,,,,,,,,,,,,,K,L,,M,,,N,,,,O,,,,P,,,Q,Металлы,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,s,s,p,s,p,d,s,p,d,f,s,p,d,f,s,p,d,s,,,,,,,,,,,,,,,,,,
,,Название,Латинское название,Как читается,Спектр,"
Период","
Группа","Атомная масса
(г/моль)","Плотность,
г/см³
(при 20 °C)","Температура 
плавления
(°C)","Температура 
кипения 
(°C)","Удельное 
электрическое 
сопротивление","Электрическая 
проводимость","Магнитная 
проницаемость",p,n,e,1,2,,3,,,4,,,,5,,,,6,,,7,Металлы,Щелочные,Щелочноземельные,Переходные,Парамагнетики,Ферримагнетики,Ферромагнетики,Лантаноиды,Актиноиды,Диамагнетики,Полуметаллы,Неметаллы,Антиферромагнетики,Пниктогены,Халькогены,Галогены,Инертный газ,Редкоземельные
47,Ag,Серебро,Argentum,Аргентум,,5,11,"107,8682","10,49","961,9",2212,,,,47,61,47,2,2,6,2,6,10,2,6,10,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,Cd,Кадмий,Cadmium,Кадмий,,5,12,"112,411","8,64",321,765,,,,48,64,48,2,2,6,2,6,10,2,6,10,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,In,Индий,Indium,Индий,,5,13,"114,818","7,31","156,2",2080,,,,49,66,49,2,2,6,2,6,10,2,6,10,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Sn,Олово,Stannum,Станнум,,5,14,"118,71","7,29",232,2270,,,,50,69,50,2,2,6,2,6,10,2,6,10,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Sb,Сурьма,Stibium,Стибиум,,5,15,"121,76","6,69","630,7",1750,,,,51,71,51,2,2,6,2,6,10,2,6,10,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
52,Te,Теллур,Tellurium,Теллур,,5,16,"127,6","6,25","449,6",990,,,,52,76,52,2,2,6,2,6,10,2,6,10,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
53,I,Иод,"Iodium, Jodium",Йод,,5,17,"126,90447","4,94","113,5","184,4",,,,53,74,53,2,2,6,2,6,10,2,6,10,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
54,Xe,Ксенон,Xenon,Ксенон,,5,18,"131,293","4,49 г/л","-111,9",-107,,,,54,77,54,2,2,6,2,6,10,2,6,10,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
55,Cs,Цезий,Caesium,Цезий,,6,1,"132,9054519","1,90","28,4",690,,,,55,78,55,2,2,6,2,6,10,2,6,10,0,2,6,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,Ba,Барий,Barium,Барий,,6,2,"137,327","3,65",725,1640,,,,56,81,56,2,2,6,2,6,10,2,6,10,0,2,6,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,La,Лантан,Lanthanum,Лантан,,6,6,"138,90547","6,16",920,3454,,,,57,82,57,2,2,6,2,6,10,2,6,10,0,2,6,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
58,Ce,Церий,Cerium,Церий,,6,6,"140,116","6,77",798,3257,,,,58,82,58,2,2,6,2,6,10,2,6,10,1,2,6,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
59,Pr,Празеодим,Praseodymium,Празеодим,,6,6,"140,90765","6,48",931,3212,,,,59,82,59,2,2,6,2,6,10,2,6,10,3,2,6,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,Nd,Неодим,Neodymium,Неодим,,6,6,"144,242","7,00",1010,3127,,,,60,84,60,2,2,6,2,6,10,2,6,10,4,2,6,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
61,Pm,Прометий,Promethium,Прометий,,6,6,"146,9151","7,22",1080,2730,,,,61,86,61,2,2,6,2,6,10,2,6,10,5,2,6,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
62,Sm,Самарий,Samarium,Самарий,,6,6,"150,36","7,54",1072,1778,,,,62,88,62,2,2,6,2,6,10,2,6,10,6,2,6,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
63,Eu,Европий,Europium,Европий,,6,6,"151,964","5,25",822,1597,,,,63,89,63,2,2,6,2,6,10,2,6,10,7,2,6,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
64,Gd,Гадолиний,Gadolinium,Гадолиний,,6,6,"157,25","7,89",1311,3233,,,,64,93,64,2,2,6,2,6,10,2,6,10,7,2,6,1,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
65,Tb,Тербий,Terbium,Тербий,,6,6,"158,92535","8,25",1360,3041,,,,65,94,65,2,2,6,2,6,10,2,6,10,9,2,6,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
66,Dy,Диспрозий,Dysprosium,Диспрозий,,6,6,"162,5","8,56",1409,2335,,,,66,97,66,2,2,6,2,6,10,2,6,10,10,2,6,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
67,Ho,Гольмий,Holmium,Гольмий,,6,6,"164,93032","8,78",1470,2720,,,,67,98,67,2,2,6,2,6,10,2,6,10,11,2,6,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
68,Er,Эрбий,Erbium,Эрбий,,6,6,"167,259","9,05",1522,2510,,,,68,99,68,2,2,6,2,6,10,2,6,10,12,2,6,0,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1
69,Tm,Тулий,Thulium,Тулий,,6,6,"168,93421","9,32",1545,1727,,,,69,100,69,2,2,6,2,6,10,2,6,10,13,2,6,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
70,Yb,Иттербий,Ytterbium,Иттербий,,6,6,"173,04","6,97",824,1193,,,,70,103,70,2,2,6,2,6,10,2,6,10,14,2,6,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
71,Lu,Лютеций,Lutetium,Лютеций,,6,3,"174,967","9,84",1656,3315,,,,71,104,71,2,2,6,2,6,10,2,6,10,14,2,6,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
72,Hf,Гафний,Hafnium,Гафний,,6,4,"178,49","13,31",2150,5400,,,,72,106,72,2,2,6,2,6,10,2,6,10,14,2,6,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Ta,Тантал,Tantalum,Тантал,,6,5,"180,9479","16,68",2996,5425,,,,73,108,73,2,2,6,2,6,10,2,6,10,14,2,6,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,W,Вольфрам,Wolframium,Вольфрам,,6,6,"183,84","19,26",3407,5927,,,,74,110,74,2,2,6,2,6,10,2,6,10,14,2,6,4,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Re,Рений,Rhenium,Рений,,6,7,"186,207","21,03",3180,5873,,,,75,111,75,2,2,6,2,6,10,2,6,10,14,2,6,5,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Os,Осмий,Osmium,Осмий,,6,8,"190,23","22,61",3045,5027,,,,76,114,76,2,2,6,2,6,10,2,6,10,14,2,6,6,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Ir,Иридий,Iridium,Иридий,,6,9,"192,217","22,65",2410,4130,,,,77,115,77,2,2,6,2,6,10,2,6,10,14,2,6,7,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Pt,Платина,Platinum,Платина,,6,10,"195,084","21,45",1772,3827,,,,78,117,78,2,2,6,2,6,10,2,6,10,14,2,6,9,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Au,Золото,Aurum,Аурум,,6,11,"196,966569","19,32","1064,4",2940,,,,79,118,79,2,2,6,2,6,10,2,6,10,14,2,6,10,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,Hg,Ртуть,Hydrargyrum,Гидраргирум,,6,12,"200,59","13,55","-38,9","356,6",,,,80,121,80,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Tl,Таллий,Thallium,Таллий,,6,13,"204,3833","11,85","303,6",1457,,,,81,123,81,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Pb,Свинец,Plumbum,Плюмбум,,6,14,"207,2","11,34","327,5",1740,,,,82,125,82,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Bi,Висмут,Bismuthum,Висмут,,6,15,"208,9804","9,80","271,4",1560,,,,83,126,83,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
84,Po,Полоний,Polonium,Полоний,,6,16,"208,9824","9,20",254,962,,,,84,125,84,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
85,At,Астат,Astatum,Астат,,6,17,"209,9871",,302,337,,,,85,125,85,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
